Username,Conversation_name,Date_sent,Message_type,Read
meyerglenn,Conversation_0,2020-12-05 20:54:04,text,False
meyerglenn,Conversation_0,2023-07-13 05:06:58,image,False
robertcunningham,Conversation_0,2022-04-27 01:33:07,text,False
robertcunningham,Conversation_0,2021-08-30 21:45:49,image,False
meyerglenn,Conversation_0,2022-10-24 04:55:46,text,True
robertcunningham,Conversation_0,2022-06-30 15:44:46,attachment,True
robertcunningham,Conversation_0,2023-06-17 00:18:08,attachment,False
meyerglenn,Conversation_0,2021-01-23 20:51:05,text,True
kellibaker,Conversation_1,2021-12-23 15:44:18,text,True
debrabrown,Conversation_1,2021-04-06 06:34:44,attachment,False
kellibaker,Conversation_1,2021-06-15 22:56:13,image,True
kellibaker,Conversation_1,2023-06-15 10:29:33,text,False
debrabrown,Conversation_1,2021-12-31 12:05:07,text,False
kellibaker,Conversation_1,2020-07-24 19:30:17,image,False
debrabrown,Conversation_1,2024-03-01 19:13:26,attachment,False
kellibaker,Conversation_1,2021-11-22 21:38:22,image,False
kellibaker,Conversation_1,2020-10-07 07:32:34,attachment,False
hwalsh,Conversation_2,2021-08-01 18:17:52,attachment,False
walkerjeremiah,Conversation_2,2020-08-24 18:34:15,attachment,False
walkerjeremiah,Conversation_2,2023-04-12 02:58:31,image,False
hwalsh,Conversation_2,2020-04-11 19:41:28,image,False
hwalsh,Conversation_2,2024-03-05 12:15:21,text,True
oneilleric,Conversation_3,2020-04-23 16:36:07,text,True
hscott,Conversation_3,2020-02-13 07:24:16,image,True
oneilleric,Conversation_3,2021-05-31 16:28:58,text,True
hscott,Conversation_3,2020-01-15 03:12:19,text,False
hscott,Conversation_3,2024-01-12 00:28:24,image,False
hscott,Conversation_3,2021-06-02 17:46:08,text,True
oneilleric,Conversation_3,2020-12-23 00:24:06,attachment,True
hscott,Conversation_3,2020-04-06 04:45:36,text,True
hscott,Conversation_3,2023-09-12 01:45:31,attachment,True
rachel74,Conversation_4,2022-08-01 03:57:48,text,True
saralindsey,Conversation_4,2022-11-25 08:49:43,attachment,True
rachel74,Conversation_4,2020-07-01 21:14:07,attachment,True
saralindsey,Conversation_4,2020-04-26 03:13:33,attachment,False
rachel74,Conversation_4,2023-10-11 03:55:12,attachment,False
ryoung,Conversation_5,2021-05-31 23:36:18,image,False
johnathan65,Conversation_5,2021-05-10 07:04:58,text,True
johnathan65,Conversation_5,2022-07-28 22:40:35,text,True
johnathan65,Conversation_5,2022-02-28 06:10:25,text,False
ryoung,Conversation_5,2022-04-12 17:33:01,attachment,False
johnathan65,Conversation_5,2024-02-09 17:17:38,image,False
johnathan65,Conversation_5,2023-05-11 09:15:25,text,True
ryoung,Conversation_5,2022-12-20 15:53:09,attachment,False
johnathan65,Conversation_5,2021-12-16 00:06:13,text,True
johnathan65,Conversation_5,2023-07-07 16:59:48,text,True
nicholskenneth,Conversation_6,2023-07-31 20:04:16,attachment,True
amyjones,Conversation_6,2021-08-13 03:55:53,attachment,False
mary52,Conversation_7,2023-03-03 13:31:52,attachment,True
heidi53,Conversation_7,2022-02-22 22:41:57,text,False
mary52,Conversation_7,2024-02-16 05:26:55,text,False
mary52,Conversation_7,2020-03-17 11:39:15,text,False
mary52,Conversation_7,2022-03-11 17:01:16,attachment,True
mary52,Conversation_7,2021-10-11 16:19:19,text,False
heidi53,Conversation_7,2022-09-08 18:52:17,image,True
ogibbs,Conversation_8,2022-04-09 03:34:32,text,False
morganyolanda,Conversation_8,2023-12-19 04:36:29,attachment,True
morganyolanda,Conversation_8,2022-02-13 07:10:04,image,True
ogibbs,Conversation_8,2021-05-16 17:53:10,text,False
ogibbs,Conversation_8,2021-08-14 03:25:53,text,False
morganyolanda,Conversation_8,2022-12-25 00:00:57,image,True
morganyolanda,Conversation_8,2022-04-10 16:39:12,text,True
laura89,Conversation_9,2022-07-28 16:04:15,image,False
laura89,Conversation_9,2023-10-11 04:57:54,image,False
wileyluis,Conversation_9,2023-04-24 21:10:06,image,False
laura89,Conversation_9,2020-09-12 16:40:29,attachment,False
laura89,Conversation_9,2022-04-19 11:50:08,image,False
wileyluis,Conversation_9,2022-10-11 19:14:53,text,False
laura89,Conversation_9,2021-04-08 22:31:06,attachment,True
wileyluis,Conversation_9,2020-04-20 05:15:11,attachment,False
laura89,Conversation_9,2020-09-11 08:25:12,attachment,True
libarra,Conversation_10,2023-03-27 16:54:52,image,False
ajenkins,Conversation_10,2020-02-28 22:08:44,text,False
ajenkins,Conversation_10,2020-08-05 08:21:48,attachment,False
ajenkins,Conversation_10,2023-07-30 11:41:17,image,False
djames,Conversation_11,2022-02-24 10:37:46,text,False
bjones,Conversation_11,2022-05-23 09:33:56,attachment,False
bjones,Conversation_11,2024-04-07 22:36:31,image,True
bjones,Conversation_11,2022-01-24 17:59:22,image,True
djames,Conversation_11,2020-06-23 11:24:53,image,False
djames,Conversation_11,2021-05-05 10:32:03,attachment,True
bjones,Conversation_11,2022-10-01 23:48:38,attachment,False
bjones,Conversation_11,2021-01-07 07:27:48,image,True
djames,Conversation_11,2021-04-07 05:03:43,image,True
bjones,Conversation_11,2022-02-05 10:54:31,attachment,False
kelly03,Conversation_12,2022-05-14 23:57:31,attachment,False
uhuber,Conversation_12,2023-07-03 22:55:59,attachment,False
kelly03,Conversation_12,2021-08-22 05:39:40,text,False
uhuber,Conversation_12,2020-07-21 18:50:39,image,True
uhuber,Conversation_12,2024-03-13 23:15:28,attachment,False
kelly03,Conversation_12,2021-10-17 02:19:20,attachment,True
kelly03,Conversation_12,2020-11-17 03:10:26,text,False
ufernandez,Conversation_13,2023-09-01 09:12:01,image,False
swhitaker,Conversation_13,2022-07-15 21:21:07,attachment,True
ufernandez,Conversation_13,2021-04-08 22:53:29,text,True
ufernandez,Conversation_13,2024-02-24 01:19:33,attachment,False
swhitaker,Conversation_13,2020-11-30 02:36:49,attachment,True
ufernandez,Conversation_13,2021-03-25 12:45:09,text,False
gregg92,Conversation_14,2022-10-11 01:14:07,image,True
wileyjoanna,Conversation_14,2021-02-22 00:34:51,attachment,True
wileyjoanna,Conversation_14,2021-07-14 07:47:46,attachment,True
gregg92,Conversation_14,2022-07-29 18:05:49,text,False
wileyjoanna,Conversation_14,2020-03-02 11:11:53,image,True
hartwilliam,Conversation_15,2022-12-15 21:31:38,text,True
robert19,Conversation_15,2021-11-09 11:08:03,text,False
hartwilliam,Conversation_15,2021-09-05 20:27:33,image,True
hartwilliam,Conversation_15,2020-04-11 17:14:47,image,False
hartwilliam,Conversation_15,2021-07-10 20:50:49,image,True
robert19,Conversation_15,2021-06-20 21:43:57,attachment,False
robert19,Conversation_15,2020-02-17 06:59:28,image,True
hartwilliam,Conversation_15,2022-05-01 11:25:55,image,False
robert19,Conversation_15,2021-10-24 07:19:18,attachment,True
allisongabriella,Conversation_16,2020-03-26 17:50:06,image,False
allisongabriella,Conversation_16,2023-03-07 05:48:51,image,False
derekrose,Conversation_16,2023-01-27 22:28:33,image,False
derekrose,Conversation_16,2023-06-24 03:14:07,text,False
derekrose,Conversation_16,2023-04-04 17:18:54,image,False
kristenterry,Conversation_17,2021-08-05 10:14:50,image,False
kristenterry,Conversation_17,2023-04-01 16:42:38,text,False
rivasanthony,Conversation_17,2024-02-28 22:02:37,text,False
kristenterry,Conversation_17,2024-04-02 22:55:53,text,False
rivasanthony,Conversation_17,2020-01-19 19:16:16,text,True
zhill,Conversation_18,2022-06-15 22:38:20,attachment,False
zhill,Conversation_18,2021-12-23 15:54:27,image,False
frazierchristopher,Conversation_19,2020-11-13 11:39:48,image,False
frazierchristopher,Conversation_19,2020-08-27 08:53:50,image,True
vwhite,Conversation_19,2022-08-06 09:50:47,image,False
vwhite,Conversation_19,2021-07-24 05:01:48,image,True
frazierchristopher,Conversation_19,2022-12-23 20:32:31,text,True
vwhite,Conversation_19,2020-02-02 21:41:17,image,True
vwhite,Conversation_19,2022-01-05 04:13:24,text,True
frazierchristopher,Conversation_19,2022-08-09 13:36:26,image,False
batesnicholas,Conversation_20,2023-12-17 20:49:06,attachment,False
batesnicholas,Conversation_20,2024-02-23 13:13:53,text,False
brianjefferson,Conversation_20,2022-03-13 18:40:34,image,False
batesnicholas,Conversation_20,2021-11-28 01:33:02,attachment,False
brianjefferson,Conversation_20,2020-02-12 06:56:28,text,True
brianjefferson,Conversation_20,2022-03-16 20:02:22,attachment,True
brianjefferson,Conversation_20,2022-01-18 16:38:14,attachment,True
simmonsjasmine,Conversation_21,2020-01-27 14:40:55,text,False
simmonsjasmine,Conversation_21,2023-02-18 11:35:38,image,True
waltersalejandro,Conversation_21,2023-04-08 06:18:59,attachment,False
waltersalejandro,Conversation_21,2021-10-24 09:25:21,text,True
waltersalejandro,Conversation_21,2023-09-14 10:32:54,attachment,True
brian07,Conversation_22,2021-06-30 18:09:25,attachment,True
kruegerpatricia,Conversation_22,2022-01-09 10:40:37,attachment,True
kruegerpatricia,Conversation_22,2020-02-03 07:54:16,text,False
brian07,Conversation_22,2021-12-10 06:04:20,image,False
brian07,Conversation_22,2020-01-11 00:10:57,image,False
kruegerpatricia,Conversation_22,2022-04-10 08:34:25,text,False
kruegerpatricia,Conversation_22,2023-07-15 09:39:21,text,True
lyonsbrian,Conversation_23,2023-07-05 21:59:56,text,False
lyonsbrian,Conversation_23,2024-01-20 14:35:35,attachment,False
lyonsbrian,Conversation_23,2023-09-19 14:28:04,text,False
lyonsbrian,Conversation_23,2023-10-02 15:45:59,attachment,True
lyonsbrian,Conversation_23,2022-03-25 23:06:32,attachment,False
lyonsbrian,Conversation_23,2022-10-14 22:22:09,text,True
nrodriguez,Conversation_23,2022-08-10 11:57:07,attachment,False
nrodriguez,Conversation_23,2020-03-31 14:40:30,attachment,True
bradleydaugherty,Conversation_24,2022-11-16 08:37:53,image,False
bradleydaugherty,Conversation_24,2021-07-01 19:21:16,attachment,False
bradleydaugherty,Conversation_24,2021-07-03 07:29:09,text,True
powelldustin,Conversation_25,2022-05-10 18:21:51,image,False
mollykennedy,Conversation_25,2022-01-21 02:13:27,image,True
mollykennedy,Conversation_25,2020-03-29 13:38:02,attachment,False
mollykennedy,Conversation_25,2020-11-11 21:50:23,text,True
powelldustin,Conversation_25,2022-06-12 13:58:39,image,False
mollykennedy,Conversation_25,2022-10-21 18:07:47,image,True
wilsonjeff,Conversation_26,2023-04-30 07:23:39,attachment,False
wilsonjeff,Conversation_26,2021-06-09 14:05:40,text,False
wilsonjeff,Conversation_26,2021-09-09 02:19:53,attachment,True
allisongabriella,Conversation_26,2020-03-09 23:16:15,attachment,False
wilsonjeff,Conversation_26,2023-09-02 06:00:40,text,True
allisongabriella,Conversation_26,2021-04-17 02:57:20,image,False
allisongabriella,Conversation_26,2022-12-25 14:10:03,attachment,False
wilsonjeff,Conversation_26,2021-11-09 11:48:52,text,True
wilsonjeff,Conversation_26,2020-05-20 09:52:50,text,True
wilsonjeff,Conversation_26,2023-12-31 06:36:57,attachment,False
amanda00,Conversation_27,2023-08-21 05:43:49,text,False
jennifermccarthy,Conversation_27,2021-11-11 09:21:03,text,True
jennifermccarthy,Conversation_27,2022-10-28 21:19:06,image,False
amanda00,Conversation_27,2020-03-28 07:36:21,text,False
jennifermccarthy,Conversation_27,2021-12-06 12:22:59,attachment,False
parkerdavid,Conversation_28,2023-08-03 04:36:30,attachment,False
parkerdavid,Conversation_28,2021-10-18 17:59:23,text,False
francesweiss,Conversation_28,2020-08-19 22:03:02,image,True
mirandachavez,Conversation_29,2021-10-30 03:39:10,attachment,False
johnsonthomas,Conversation_29,2023-09-21 21:43:34,text,False
mirandachavez,Conversation_29,2020-10-23 13:37:55,attachment,False
johnsonthomas,Conversation_29,2023-01-31 02:48:38,image,False
pagejoshua,Conversation_30,2023-02-25 05:20:04,attachment,True
pagejoshua,Conversation_30,2021-06-30 20:48:02,image,False
karlmccann,Conversation_30,2020-10-28 02:33:50,attachment,False
pagejoshua,Conversation_30,2022-03-12 22:30:15,text,True
pagejoshua,Conversation_30,2023-03-19 09:50:28,attachment,False
karlmccann,Conversation_30,2023-01-08 22:45:13,text,True
pagejoshua,Conversation_30,2022-02-23 23:27:53,attachment,True
jenniferanderson,Conversation_31,2023-04-20 12:54:49,image,False
cmcclure,Conversation_31,2023-05-27 11:45:01,attachment,False
jenniferanderson,Conversation_31,2021-10-25 18:00:12,image,False
cmcclure,Conversation_31,2020-10-09 05:25:19,text,True
hicksmelissa,Conversation_32,2022-08-04 11:20:33,image,True
hicksmelissa,Conversation_32,2024-01-11 09:29:34,image,False
hicksmelissa,Conversation_32,2024-02-21 10:19:09,text,True
uzimmerman,Conversation_32,2022-06-06 13:18:52,image,False
hicksmelissa,Conversation_32,2023-04-29 05:53:37,attachment,True
hicksmelissa,Conversation_32,2021-08-07 13:56:48,image,True
hicksmelissa,Conversation_32,2023-04-06 14:48:11,attachment,True
lisaramos,Conversation_33,2020-05-11 14:34:20,attachment,True
mnavarro,Conversation_33,2021-04-09 18:13:33,text,True
lisaramos,Conversation_33,2022-02-02 08:00:19,attachment,True
lisaramos,Conversation_33,2020-01-06 19:10:27,image,True
lisaramos,Conversation_33,2023-12-03 22:23:32,text,False
lisaramos,Conversation_33,2021-05-23 03:18:26,attachment,False
lisaramos,Conversation_33,2022-07-20 18:21:48,attachment,True
mnavarro,Conversation_33,2023-03-28 03:43:37,text,False
lisaramos,Conversation_33,2021-05-09 22:21:34,attachment,False
debrapatrick,Conversation_34,2023-11-14 21:12:49,text,False
thomaselizabeth,Conversation_34,2023-09-23 14:57:28,attachment,False
thomaselizabeth,Conversation_34,2024-03-24 18:59:37,text,False
thomaselizabeth,Conversation_34,2020-05-05 00:00:21,attachment,True
thomaselizabeth,Conversation_34,2024-01-25 10:12:38,attachment,False
thomaselizabeth,Conversation_34,2022-11-23 01:41:38,text,True
debrapatrick,Conversation_34,2022-11-02 06:42:41,text,False
thomaselizabeth,Conversation_34,2021-02-26 22:23:19,text,False
thomaselizabeth,Conversation_34,2021-10-05 06:23:39,image,False
heidi53,Conversation_35,2020-08-30 23:12:17,image,True
robert13,Conversation_35,2023-12-09 07:33:24,attachment,False
heidi53,Conversation_35,2023-03-09 01:24:06,text,False
robert13,Conversation_35,2022-04-21 01:16:24,attachment,True
robert13,Conversation_35,2021-08-14 12:57:12,attachment,False
trogers,Conversation_36,2023-05-29 16:57:56,text,False
kruiz,Conversation_36,2020-09-12 11:03:15,text,True
kruiz,Conversation_36,2020-11-30 18:51:32,text,False
kruiz,Conversation_36,2023-08-17 05:54:47,text,False
kruiz,Conversation_36,2020-04-30 06:01:00,attachment,False
romerodana,Conversation_37,2021-03-17 13:14:07,image,True
kimpatricia,Conversation_37,2022-10-29 23:42:28,image,True
kimpatricia,Conversation_37,2020-06-15 15:39:56,attachment,True
romerodana,Conversation_37,2020-03-03 04:37:02,attachment,True
kimpatricia,Conversation_37,2022-02-20 23:13:34,text,False
romerodana,Conversation_37,2020-12-27 12:09:16,text,False
kimpatricia,Conversation_37,2020-05-08 14:58:53,attachment,False
ulowe,Conversation_38,2023-07-22 07:02:26,text,True
ubernard,Conversation_38,2022-06-24 15:55:12,image,False
ulowe,Conversation_38,2022-06-05 13:25:20,image,False
ulowe,Conversation_38,2020-01-18 07:18:54,attachment,False
ulowe,Conversation_38,2023-02-11 08:44:49,attachment,True
ulowe,Conversation_38,2020-04-26 19:36:53,image,False
ubernard,Conversation_38,2023-12-08 02:36:50,image,False
crystaljones,Conversation_39,2020-11-02 14:33:51,image,False
