User1,User2,Date_followed,Interactions,Interest_level
User_0,User_4887,2023-05-02 08:42:44,30,3
User_1,User_2870,2023-01-11 12:02:14,60,10
User_2,User_738,2021-07-08 05:38:56,65,10
User_3,User_3030,2022-01-03 19:29:28,94,2
User_4,User_2710,2024-02-13 07:54:22,99,10
User_5,User_1676,2023-05-14 05:25:22,20,4
User_6,User_4216,2022-02-20 11:57:22,66,3
User_7,User_3042,2022-07-10 11:11:38,25,7
User_8,User_3956,2021-03-24 11:19:05,96,4
User_9,User_1142,2021-01-13 13:42:35,69,9
User_10,User_2501,2021-07-10 18:17:09,3,8
User_11,User_2235,2022-08-16 07:09:01,92,1
User_12,User_4055,2020-01-25 20:43:59,86,5
User_13,User_4543,2022-12-22 19:27:59,46,7
User_14,User_2143,2022-07-30 14:11:15,8,8
User_15,User_3494,2022-11-26 07:19:19,68,3
User_16,User_1856,2020-05-20 22:38:38,61,8
User_17,User_4614,2024-01-09 01:11:16,2,8
User_18,User_682,2021-05-02 03:08:38,69,6
User_19,User_2145,2022-12-06 15:48:33,34,6
User_20,User_3516,2023-11-26 11:10:34,65,8
User_21,User_3306,2022-01-05 23:18:13,22,3
User_22,User_1678,2020-08-14 18:55:11,37,5
User_23,User_112,2024-03-28 12:31:15,38,3
User_24,User_4077,2024-01-01 03:31:47,33,1
User_25,User_40,2023-01-04 15:20:26,55,4
User_26,User_3713,2021-07-05 13:41:31,51,4
User_27,User_4808,2020-12-07 20:50:44,49,6
User_28,User_3600,2021-01-30 23:46:43,50,3
User_29,User_1702,2022-06-17 02:45:50,35,5
User_30,User_3451,2020-05-03 00:23:09,13,2
User_31,User_3884,2021-07-28 05:11:53,37,2
User_32,User_4901,2022-04-16 15:28:52,38,3
User_33,User_3672,2021-12-25 21:37:10,100,4
User_34,User_2947,2024-01-28 02:37:16,46,4
User_35,User_4236,2022-10-01 16:36:56,59,1
User_36,User_4709,2020-04-06 05:16:27,40,4
User_37,User_2043,2021-08-23 16:00:56,4,7
User_38,User_507,2023-06-20 00:56:49,68,10
User_39,User_1801,2024-02-22 10:43:59,49,3
User_40,User_1879,2024-01-18 20:17:15,43,1
User_41,User_2345,2023-04-09 14:34:28,48,3
User_42,User_762,2023-04-22 10:17:16,87,6
User_43,User_679,2023-04-17 13:24:17,61,3
User_44,User_4814,2022-11-19 22:35:53,92,5
User_45,User_2826,2021-09-15 04:22:13,70,1
User_46,User_3626,2022-05-23 13:58:39,63,1
User_47,User_4130,2023-07-05 12:44:41,96,9
User_48,User_1125,2023-05-10 07:42:21,71,4
User_49,User_4929,2023-10-11 09:44:52,28,8
User_50,User_8,2022-03-09 22:02:14,37,9
User_51,User_1043,2023-11-11 20:57:26,1,8
User_52,User_293,2020-07-19 04:44:56,60,3
User_53,User_4234,2021-09-18 17:32:24,84,7
User_54,User_3049,2021-11-12 15:13:32,86,8
User_55,User_1843,2022-11-07 21:25:32,14,10
User_56,User_1630,2021-02-27 08:00:10,59,2
User_57,User_4686,2020-12-22 00:21:08,95,2
User_58,User_769,2021-08-12 07:56:53,52,5
User_59,User_365,2022-02-04 01:35:15,83,6
User_60,User_2482,2020-10-27 13:22:46,90,9
User_61,User_543,2022-07-13 04:11:48,94,3
User_62,User_2579,2020-08-31 17:05:49,74,10
User_63,User_1222,2022-10-31 07:42:51,61,2
User_64,User_1620,2020-10-04 17:13:06,28,7
User_65,User_844,2020-10-21 09:02:49,60,8
User_66,User_2366,2022-11-21 13:11:11,96,5
User_67,User_3667,2022-03-23 18:14:05,57,7
User_68,User_4024,2022-10-02 15:16:20,87,4
User_69,User_1736,2020-09-04 04:30:50,62,1
User_70,User_1906,2022-02-12 00:51:55,61,4
User_71,User_4637,2021-07-06 11:30:13,59,1
User_72,User_4,2020-06-30 14:21:48,5,6
User_73,User_968,2021-01-04 07:35:19,56,6
User_74,User_3394,2020-04-26 22:22:53,37,1
User_75,User_3921,2021-04-22 06:56:11,41,8
User_76,User_508,2023-11-14 15:03:55,28,6
User_77,User_1623,2021-06-12 02:07:00,47,1
User_78,User_3577,2023-11-20 02:18:32,33,10
User_79,User_4325,2023-01-28 07:39:13,23,9
User_80,User_1698,2022-10-04 06:51:30,20,2
User_81,User_1502,2023-02-03 02:41:37,83,10
User_82,User_4522,2023-11-09 18:24:18,38,3
User_83,User_934,2022-04-15 05:11:50,36,1
User_84,User_3158,2020-11-28 09:13:41,41,10
User_85,User_4238,2020-03-21 12:02:37,10,9
User_86,User_4974,2020-05-07 18:59:22,80,10
User_87,User_1767,2020-05-08 15:10:59,10,5
User_88,User_3268,2024-03-21 19:57:50,85,7
User_89,User_3827,2023-07-21 20:06:57,65,9
User_90,User_3710,2021-01-03 20:31:03,60,4
User_91,User_3125,2022-09-29 00:55:02,13,9
User_92,User_215,2024-03-26 00:29:41,59,7
User_93,User_2093,2021-03-23 07:55:29,89,4
User_94,User_4272,2021-02-15 12:32:31,99,8
User_95,User_1468,2021-12-04 01:15:31,58,7
User_96,User_3921,2023-01-03 00:21:07,16,10
User_97,User_708,2023-01-25 17:47:29,11,8
User_98,User_3033,2023-03-26 18:05:55,34,2
User_99,User_1940,2020-06-13 22:40:05,57,3
User_100,User_3545,2021-09-18 12:23:24,6,7
