Username,Hobby,Date_followed,Interest_level,Last_activity
User_0,Hobby_4271,2020-02-28 21:40:27,6,2022-08-22 12:21:00
User_1,Hobby_802,2020-09-10 06:19:00,7,2020-10-23 12:30:18
User_2,Hobby_2788,2021-07-31 05:58:51,4,2023-04-05 08:25:49
User_3,Hobby_3947,2021-09-27 00:23:32,1,2023-07-08 15:13:15
User_4,Hobby_7,2021-02-24 22:12:32,2,2023-05-16 16:38:30
User_5,Hobby_4852,2020-09-16 14:44:34,3,2022-04-06 16:58:05
User_6,Hobby_273,2023-03-03 03:33:44,8,2023-12-24 02:20:55
User_7,Hobby_781,2022-07-14 22:32:29,5,2023-03-16 18:02:25
User_8,Hobby_3057,2023-10-28 21:47:17,7,2021-06-28 12:46:59
User_9,Hobby_2378,2020-02-29 22:00:04,8,2024-02-27 17:17:32
User_10,Hobby_167,2020-10-22 10:18:00,10,2023-10-08 06:52:53
User_11,Hobby_934,2020-01-08 05:29:23,9,2023-08-25 14:52:09
User_12,Hobby_2347,2022-01-29 03:35:07,2,2020-12-16 07:17:05
User_13,Hobby_2548,2022-03-22 20:11:29,4,2020-09-02 16:14:23
User_14,Hobby_1527,2023-03-02 18:34:03,7,2022-01-07 10:56:53
User_15,Hobby_4487,2022-03-31 20:48:06,5,2021-08-28 02:00:03
User_16,Hobby_2490,2023-02-12 03:24:47,2,2021-06-11 15:36:56
User_17,Hobby_1975,2021-02-02 14:47:43,3,2021-02-07 06:21:41
User_18,Hobby_3267,2021-03-16 20:36:18,4,2021-03-21 10:18:59
User_19,Hobby_4797,2022-07-26 06:18:38,2,2023-08-23 07:03:48
User_20,Hobby_1462,2021-09-13 15:40:16,7,2020-05-02 07:39:19
User_21,Hobby_3201,2020-02-04 04:51:52,5,2020-12-18 11:55:18
User_22,Hobby_3922,2021-01-09 16:12:10,9,2022-02-07 04:30:53
User_23,Hobby_790,2021-05-28 18:21:58,6,2023-03-01 10:59:53
User_24,Hobby_622,2023-04-16 04:40:33,10,2021-01-16 03:50:53
User_25,Hobby_1727,2020-07-03 05:58:19,3,2022-06-25 14:08:40
User_26,Hobby_3143,2022-11-12 12:37:13,7,2021-03-17 21:44:50
User_27,Hobby_4351,2023-02-08 03:14:04,8,2020-09-11 10:38:27
User_28,Hobby_1182,2021-12-03 03:46:10,10,2023-10-15 00:04:03
User_29,Hobby_4075,2022-11-02 11:09:09,2,2024-03-23 10:41:53
User_30,Hobby_39,2023-04-20 06:52:13,3,2020-06-28 04:21:59
User_31,Hobby_1817,2023-12-24 21:35:38,6,2021-11-30 03:17:14
User_32,Hobby_2028,2023-03-24 21:52:01,2,2022-11-17 15:14:40
User_33,Hobby_4128,2021-05-21 07:40:46,2,2020-12-26 04:41:22
User_34,Hobby_544,2020-05-17 19:39:16,3,2022-04-02 16:47:26
User_35,Hobby_4785,2021-03-13 12:55:18,9,2021-03-26 20:11:10
User_36,Hobby_4149,2022-11-30 09:04:50,2,2023-05-22 08:15:52
User_37,Hobby_1433,2020-12-10 06:52:57,6,2022-04-20 09:29:27
User_38,Hobby_45,2023-09-18 05:40:13,5,2020-12-24 11:08:07
User_39,Hobby_1801,2023-02-08 08:02:53,9,2023-05-11 22:13:56
User_40,Hobby_4802,2021-02-16 18:59:50,5,2024-02-14 20:19:05
User_41,Hobby_2911,2021-02-25 03:05:44,2,2021-04-29 16:02:26
User_42,Hobby_2814,2022-04-16 11:08:04,10,2020-08-29 17:38:05
User_43,Hobby_780,2021-04-29 08:02:52,6,2020-12-22 04:02:29
User_44,Hobby_3800,2021-02-17 02:53:54,8,2021-01-05 22:53:18
User_45,Hobby_776,2022-04-10 21:51:54,2,2022-08-07 06:19:03
User_46,Hobby_4264,2020-09-28 05:25:18,7,2020-03-12 17:22:41
User_47,Hobby_1254,2023-10-17 13:23:32,7,2023-09-11 07:28:15
User_48,Hobby_812,2022-09-08 23:24:15,1,2020-02-05 11:56:19
User_49,Hobby_1209,2023-11-19 18:42:26,1,2020-02-26 13:49:12
User_50,Hobby_1216,2021-05-14 14:07:19,4,2021-10-29 17:35:09
User_51,Hobby_2330,2022-06-07 13:17:32,2,2021-10-04 13:09:10
User_52,Hobby_1383,2021-07-27 10:56:01,7,2021-07-09 04:44:07
User_53,Hobby_1893,2022-12-28 19:55:36,7,2022-12-18 20:41:41
User_54,Hobby_1009,2021-08-27 02:17:08,4,2020-06-19 10:39:03
User_55,Hobby_3783,2020-05-20 15:06:13,1,2022-06-30 05:37:34
User_56,Hobby_1184,2020-05-14 09:10:05,10,2021-01-07 14:16:51
User_57,Hobby_799,2021-09-03 17:00:10,1,2021-09-14 06:53:21
User_58,Hobby_3446,2022-03-29 13:37:59,8,2023-12-17 20:41:14
User_59,Hobby_4426,2022-02-24 22:49:02,4,2022-09-11 23:36:37
User_60,Hobby_3625,2020-09-26 18:43:25,5,2020-12-05 03:45:21
User_61,Hobby_3602,2021-03-08 14:44:45,8,2020-05-11 15:43:59
User_62,Hobby_603,2020-11-18 01:05:59,4,2023-06-10 00:02:32
User_63,Hobby_87,2023-12-25 09:27:04,7,2024-02-24 00:37:32
User_64,Hobby_2854,2022-05-27 15:18:09,4,2023-02-03 08:28:49
User_65,Hobby_2055,2022-10-06 07:51:43,9,2023-09-13 04:24:44
User_66,Hobby_3440,2020-01-31 19:49:42,2,2020-09-28 20:16:33
User_67,Hobby_1769,2020-11-30 12:04:32,4,2020-02-25 14:49:44
User_68,Hobby_3919,2023-06-10 00:02:19,10,2020-12-10 17:19:22
User_69,Hobby_1353,2024-03-11 02:07:09,3,2023-11-07 16:38:34
User_70,Hobby_837,2023-03-19 21:18:19,5,2023-06-09 15:01:40
User_71,Hobby_511,2023-11-26 08:18:07,2,2020-07-29 16:50:41
User_72,Hobby_3729,2022-03-04 01:48:21,2,2023-07-27 01:15:27
User_73,Hobby_1852,2020-12-18 04:40:51,5,2020-01-04 09:36:12
User_74,Hobby_175,2024-01-16 00:44:28,9,2021-02-10 23:09:40
User_75,Hobby_4182,2023-10-15 17:49:45,3,2024-01-27 12:09:44
User_76,Hobby_2165,2024-01-16 03:55:06,10,2021-05-10 19:22:23
User_77,Hobby_4076,2020-07-15 02:26:30,8,2022-12-23 11:51:13
User_78,Hobby_4094,2022-03-20 08:24:49,6,2020-08-19 12:06:03
User_79,Hobby_4159,2023-05-12 20:34:32,6,2022-11-05 03:30:03
User_80,Hobby_1255,2020-10-21 21:56:01,3,2023-09-15 16:40:55
User_81,Hobby_793,2020-05-12 14:31:02,5,2023-07-15 15:23:19
User_82,Hobby_4526,2023-09-22 17:06:51,4,2024-04-06 15:51:45
User_83,Hobby_566,2022-06-12 08:09:26,3,2021-11-24 07:57:52
User_84,Hobby_2724,2020-11-02 23:22:42,1,2023-10-24 00:13:22
User_85,Hobby_1229,2023-10-28 20:45:23,7,2023-04-19 15:33:25
User_86,Hobby_1044,2022-06-04 11:31:19,5,2021-08-28 10:11:54
User_87,Hobby_708,2020-01-26 19:31:30,9,2023-04-30 00:23:25
User_88,Hobby_3315,2022-09-02 12:25:49,3,2022-11-26 22:28:32
User_89,Hobby_1216,2022-07-28 19:17:08,1,2020-09-07 20:26:18
User_90,Hobby_411,2023-11-20 08:40:53,7,2023-06-12 16:35:10
User_91,Hobby_196,2021-03-02 16:49:15,4,2021-08-14 19:27:31
User_92,Hobby_961,2020-10-31 04:27:29,2,2021-12-24 16:04:24
User_93,Hobby_494,2023-11-07 05:02:33,3,2023-11-03 03:30:13
User_94,Hobby_1452,2023-04-19 10:40:14,9,2023-07-10 00:21:39
User_95,Hobby_4822,2020-07-13 14:58:26,5,2021-01-31 09:26:58
User_96,Hobby_4509,2021-08-28 10:23:34,10,2020-08-20 00:43:54
User_97,Hobby_1674,2022-12-06 01:21:53,4,2022-02-08 09:14:48
User_98,Hobby_1354,2023-04-26 03:09:23,1,2022-06-12 22:34:03
User_99,Hobby_2318,2021-11-10 04:45:24,10,2020-08-23 04:17:14
User_100,Hobby_2490,2022-12-28 23:23:01,1,2021-03-28 00:54:07
User_101,Hobby_3301,2022-04-16 04:51:02,6,2022-09-16 22:04:13
User_102,Hobby_1039,2023-09-30 08:20:32,3,2023-02-15 03:08:00
User_103,Hobby_4338,2023-08-30 03:06:34,10,2022-07-27 01:21:05
User_104,Hobby_4251,2020-02-08 12:31:33,4,2022-09-23 00:49:04
User_105,Hobby_3741,2024-01-13 23:24:08,5,2022-10-13 03:22:10
User_106,Hobby_4705,2022-05-06 03:11:07,8,2022-07-18 15:35:09
User_107,Hobby_2212,2022-03-13 21:11:45,5,2023-01-24 21:00:22
User_108,Hobby_3370,2020-11-28 06:41:54,10,2023-12-05 16:52:58
User_109,Hobby_404,2022-11-24 13:41:14,8,2023-03-20 15:57:55
User_110,Hobby_1964,2023-07-11 00:08:10,9,2021-11-20 05:25:16
User_111,Hobby_1790,2022-09-07 03:43:29,10,2021-09-25 03:29:48
User_112,Hobby_4181,2020-07-04 11:13:24,3,2021-03-29 20:49:19
User_113,Hobby_4033,2021-04-21 01:38:47,4,2020-09-26 04:54:11
User_114,Hobby_3527,2023-10-03 01:55:43,10,2020-03-11 07:19:23
User_115,Hobby_4975,2023-04-29 20:28:50,10,2024-03-25 08:26:39
User_116,Hobby_2514,2022-01-09 08:53:07,4,2021-07-31 06:53:22
User_117,Hobby_896,2020-07-30 07:40:36,2,2022-12-11 20:10:06
User_118,Hobby_4754,2023-11-21 02:14:59,10,2021-06-30 23:43:33
User_119,Hobby_4497,2022-07-16 03:44:13,8,2021-07-14 23:34:10
User_120,Hobby_769,2023-06-25 21:55:13,2,2020-06-05 01:53:28
User_121,Hobby_1966,2020-03-12 10:29:03,2,2021-01-27 06:37:20
User_122,Hobby_1920,2021-03-06 06:37:43,5,2023-11-23 03:37:12
User_123,Hobby_804,2020-06-15 05:23:41,3,2021-08-25 02:09:34
